Arabic,English
فحسب,Only
من,from
في,in
أن,that
هذا,this
على,on
ما,what
أنا,I
هل,Do
و,and
يا,Hey
ذلك,that
لقد,I have
لم,did not
ماذا,What
كان,He was
هنا,here
إلى,to
أنت,You
هو,he
هذه,This is amazing
عن,on
نعم,Yes
ان,that
هناك,there
كل,all
حسناً,Good
ليس,not
كنت,I was
فقط,only
شيء,something
الآن,now
مع,with
الذي,that
لكن,but
أجل,Okay
لك,for you
يجب,He should
لن,won't
كيف,how
حسنا,Good
انا,I
لي,for me
إنه,that it
سوف,will
نحن,we
إذا,if
كانت,She was
عندما,when
أي,any
قد,may
لماذا,Why?
هي,She is
الأمر,The order
أنه,that it
فى,in
حتى,until
بعد,after
كذلك,like that
أو,or
ولكن,But
قبل,before
التي,that
انه,that it
إنها,that it
ـ,-
لو,if
ربما,maybe
أين,where
هيا,Let's go
تلك,that
أعرف,I know
الى,to
إن,that
يكون,He is
بعض,some
أريد,I want
أعتقد,I believe
انت,You
عليك,upon you
مثل,like
صحيح,correct
به,To him
أنك,You
الوقت,the time
بخير,fine
أعلم,Know
أحد,One
شخص,person
جداً,very
رجل,man
شكراً,Thanks
لذا,So
يمكن,maybe
كما,as
كلا,both
أكثر,more
يبدو,It seems
جيد,good
تكون,Be
علي,on
اليوم,today
يمكنك,You could
انها,that it
أليس,Alice
مرحباً,Welcome
لدي,I have
عليه,attic
آخر,last
لست,I am not
منذ,since
غير,not
أيها,Hey
لديك,You have
حقاً,truly
أنتِ,You
تريد,You want
أستطيع,I can
الرجل,The man
تعرف,to get to know
له,for him
مرة,time
لدينا,We have
أنها,that it
يمكنني,I can
بأن,that
واحد,one
أنني,I am
أوه,Oh
سيكون,It will be
الناس,the people
ليست,It is not
حدث,It happened
بها,With it
أيضاً,also
أفضل,better
الكثير,a lot
علينا,On us
سيدي,my lord
مكان,place
تفعل,do
وقت,time
يكن,It is not
ط,T
شئ,something
بهذا,With this
وأنا,And I
اذا,if
جدا,very
بي,with me
أخرى,Other
آسف,Sorry
بك,With you
رائع,amazing
بذلك,So
كم,how much
إذاً,if
ثم,then
شيئاً,something
يوجد,There is
واحدة,one
ولا,no
قلت,I said
يحدث,It is happening
بالطبع,naturally
شكرا,Thanks
مرحبا,Welcome
يوم,day
أبي,my dad
معك,with you
لها,she has
معي,with me
سيد,sir
تعلم,to learn
إذن,permission
العمل,the job
تم,It was completed
المكان,Place
الليلة,tonight
إلهي,divine
لهذا,For this
فعل,an act
هكذا,thus
أمي,My mom
لذلك,So
ألا,unless
لـ,For
الان,now
حول,around
بما,including
حقا,truly
الحقيقة,the truth
الجميع,everyone
يمكننا,We can
بالتأكيد,certainly
لأن,because
لديه,He has
لنا,for us
خلال,during